Tahun,Provinsi,Jumlah Penduduk (ribu),Laju Pertumbuhan Penduduk per Tahun,Persentase Penduduk,Kepadatan Penduduk per km persegi (km2),Persentase Laki-laki,Persentase Perempuan,Persentase Tenaga Kerja Formal,Persentase Tenaga Kerja Informal,APS 7-12(SD),APS 13-15(SMP),APS 16-18(SMA),APS 19-24(D3/D4/S1),Laju Pertumbuhan PDB Atas Dasar Harga Konstan 2010,PDB per Kapita Atas Dasar Harga Berlaku (ribu rupiah),Tingkat Pengangguran Terbuka,Provinsi_encoded
2017,Banten,12448.2,2.2,4.75,1288,50.95635115,49.04364885,58.07,41.93,99.31,95.67,67.77,21.33,5.75,45276.0,9.28,2
2017,Bengkulu,1934.3,1.67,0.74,97,50.98039216,49.01960784,33.61,66.39,99.8,97.2,79.07,29.9,4.98,31359.0,3.74,3
2017,DI Yogyakarta,3762.2,1.17,1.44,1201,49.469429,50.530571,43.45,56.55,99.87,99.63,87.61,51.33,5.26,31665.0,3.02,4
2017,DKI Jakarta,10374.2,1.05,3.96,15624,50.14955135,49.85044865,71.55,28.45,99.67,97.64,71.5,24.6,6.2,228003.0,7.14,5
2017,Gorontalo,1168.2,1.61,0.45,104,50.0998004,49.9001996,39.49,60.51,98.76,91.23,69.86,29.21,6.73,29565.0,4.28,6
2017,Indonesia,261890.9,1.34,100.0,137,50.24875622,49.75124378,42.97,57.03,99.14,95.08,71.42,24.77,5.07,56923.04,5.5,7
2017,Jambi,3515.0,1.78,1.34,70,51.02840353,48.97159647,41.47,58.53,99.59,95.89,71.54,24.12,4.6,53993.0,3.87,8
2017,Jawa Barat,48037.6,1.52,18.34,1358,50.66600888,49.33399112,50.22,49.78,99.51,93.77,66.62,21.5,5.33,37223.0,8.22,9
2017,Jawa Tengah,34257.9,0.78,13.08,1044,49.59677419,50.40322581,39.71,60.29,99.62,95.48,68.48,22.13,5.26,34234.0,4.57,10
2017,Jawa Timur,39293.0,0.64,15.0,822,49.36708861,50.63291139,38.65,61.35,99.57,96.77,71.51,23.34,5.46,51228.0,4.0,11
2017,Kalimantan Barat,4932.5,1.61,1.88,33,50.90819833,49.09180167,38.57,61.43,98.44,92.51,67.53,25.8,5.17,35985.0,4.36,12
2017,Kalimantan Selatan,4119.8,1.77,1.57,106,50.71463775,49.28536225,38.98,61.02,99.55,92.33,68.3,23.53,5.28,38620.0,4.77,13
2017,Kalimantan Tengah,2605.3,2.31,0.99,17,52.2673031,47.7326969,45.67,54.33,99.5,93.37,66.62,24.15,6.73,48293.0,4.23,14
2017,Kalimantan Timur,3575.4,2.31,1.37,28,52.4262607,47.5737393,59.96,40.04,99.67,98.79,81.32,30.04,3.13,165547.0,6.91,15
2017,Kalimantan Utara,691.1,3.9,0.26,9,53.05164319,46.94835681,57.76,42.24,98.34,96.04,75.12,20.72,6.8,111319.0,5.54,16
2017,Kepulauan Bangka Belitung,1430.9,2.18,0.55,87,51.99231877,48.00768123,51.62,48.38,99.64,92.41,66.99,14.99,4.47,48827.0,3.78,17
2017,Kepulauan Riau,2082.7,3.01,0.8,254,51.02840353,48.97159647,68.51,31.49,99.32,99.08,82.8,19.13,1.98,109333.0,7.16,18
2017,Lampung,8289.6,1.18,3.17,239,51.24329595,48.75670405,29.71,70.29,99.78,94.76,70.03,20.96,5.16,36998.0,4.33,19
2017,Maluku,1744.7,1.78,0.67,37,50.42141795,49.57858205,37.18,62.82,99.72,96.86,79.08,38.2,5.82,22859.0,9.29,20
2017,Maluku Utara,1209.3,2.13,0.46,38,51.0044096,48.9955904,38.05,61.95,99.19,97.24,76.06,32.1,7.67,26686.0,5.33,21
2017,Nusa Tenggara Barat,4955.6,1.34,1.89,267,48.53319609,51.46680391,26.38,73.62,99.43,97.69,76.61,28.52,0.09,24987.0,3.32,22
2017,Nusa Tenggara Timur,5287.3,1.68,2.02,109,49.54591322,50.45408678,24.14,75.86,98.27,94.76,74.65,27.8,5.11,17165.0,3.27,23
2017,Papua,3265.2,1.93,1.25,10,52.62908574,47.37091426,21.81,78.19,81.8,79.09,63.35,24.57,4.64,57864.0,3.62,24
2017,Papua Barat,915.4,2.59,0.35,9,52.65151515,47.34848485,40.9,59.1,97.27,96.92,80.6,31.92,4.02,78424.0,6.49,25
2017,Riau,6657.9,2.57,2.54,77,51.31450828,48.68549172,47.3,52.7,98.98,94.73,76.52,27.28,2.66,105845.0,6.22,26
2017,Sulawesi Barat,1331.0,1.93,0.51,79,50.17438964,49.82561036,31.58,68.42,98.1,89.88,68.03,23.49,6.39,29676.0,3.21,27
2017,Sulawesi Selatan,8690.3,1.08,3.32,186,48.84910486,51.15089514,37.63,62.37,99.16,93.09,70.6,32.16,7.21,47822.0,5.61,28
2017,Sulawesi Tengah,2966.3,1.65,1.13,48,51.05237396,48.94762604,31.94,68.06,98.15,92.41,74.87,26.31,7.1,45157.0,3.81,29
2017,Sulawesi Tenggara,2602.4,2.14,0.99,68,50.27349577,49.72650423,36.29,63.71,99.32,94.08,72.94,30.03,6.76,41279.0,3.3,30
2017,Sulawesi Utara,2461.0,1.11,0.94,178,51.02840353,48.97159647,44.54,55.46,99.37,94.91,73.04,24.22,6.31,44744.0,7.18,31
2017,Sumatera Barat,5321.5,1.29,2.03,127,49.79919679,50.20080321,35.61,64.39,99.5,96.29,82.86,35.45,5.3,40194.0,5.58,32
2017,Sumatera Selatan,8267.0,1.44,3.16,90,50.81160846,49.18839154,37.6,62.4,99.63,94.01,69.05,19.17,5.51,46315.0,4.39,33
2017,Sumatera Utara,14262.1,1.3,5.45,195,49.8997996,50.1002004,42.0,58.0,99.49,96.6,76.76,26.8,5.12,48004.0,5.6,34
